Learner,Adversary,Regime,RewardMode,Reward,RewardCI95,GoodputMbps,GoodputCI95,AdaptiveGoodputMbps,CappedGoodputMbps,FixedGoodputMbps,PDR,PDRCI95,MeanSINRdB,MeanSINRdBCI95,JamHit,JamHitCI95,Overlap,OverlapCI95,SwitchingRate,SwitchingRateCI95,FixedArmRegret,FixedArmRegretCI95,RuntimeSeconds,Tau
Thompson Sampling,Random jammer,stochastic,outage_capped,0.620227579618091,0.00191254846243917,2.48091031847236,0.00765019384975669,2.84801583219686,2.48091031847236,0.705395,0.705395,0.00182830315291184,12.6366075224112,0.0224896025284863,0.0837,0.00126544088426878,0.0833333333333433,6.24021443388219e-18,0.83619,0.0128317964280348,77.3453822868078,20.3977672391008,8.883047345,NaN
EXP3,Random jammer,stochastic,outage_capped,0.621868750001098,0.001676546816417,2.48747500000439,0.00670618726566798,2.85613251441911,2.48747500000439,0.707125,0.707125,0.00159293836071978,12.6565662280415,0.0207033234109367,0.083285,0.00100839796968417,0.0833333333333433,6.24021443388219e-18,0.80806,0.0112487195150569,60.7780552515639,17.5400152426965,1.95014873,NaN
LC-Tsallis-INF-Online,Random jammer,stochastic,outage_capped,0.898105322068892,0.00162277276302552,3.59242128827557,0.00649109105210209,4.76158264550266,3.59242128827557,0.91398,0.91398,0.00155320440516068,15.9899892016302,0.0617860404172476,0.08356,0.00151743685275706,0.0833333333333433,6.24021443388219e-18,0.917945,0.00118323960202044,-2701.58766542638,19.5518360374121,15.249032075,NaN
Risk-aware EXP4,Random jammer,stochastic,outage_capped,0.766801934502007,0.00181380513283438,3.06720773800803,0.00725522053133753,3.60908068926712,3.06720773800803,0.83654,0.83654,0.00171809342065711,13.5686060459033,0.0205221138642689,0.08283,0.0011994158262298,0.0833333333333433,6.24021443388219e-18,0.916565,0.00121849616633308,-1388.55378975753,16.4909764759421,4.202394685,NaN
AUFH-EXP3++-1,Random jammer,stochastic,outage_capped,0.620530262289101,0.00200035804218751,2.48212104915641,0.00800143216875002,2.84789277771647,2.48212104915641,0.70583,0.70583,0.00217374980596833,12.625182787525,0.0244602148724637,0.082925,0.00126790505621634,0.0833333333333433,6.24021443388219e-18,0.90548,0.00183840103522485,74.162932371528,21.3454584152321,2.17498237,NaN
D-PACT-AFH-Base,Random jammer,stochastic,outage_capped,0.894967891233309,0.00172069255806173,3.57987156493323,0.00688277023224693,4.70579148322965,3.57987156493323,0.913325,0.913325,0.0016514564895395,15.8592597976839,0.0557431804938697,0.08338,0.00156131918851369,0.0833333333333433,6.24021443388219e-18,0.91686,0.00138603140846921,-2670.21335707055,19.1805663821438,21.219460105,NaN
D-PACT-AFH,Random jammer,stochastic,outage_capped,0.894967891233309,0.00172069255806173,3.57987156493323,0.00688277023224693,4.70579148322965,3.57987156493323,0.913325,0.913325,0.0016514564895395,15.8592597976839,0.0557431804938697,0.08338,0.00156131918851369,0.0833333333333433,6.24021443388219e-18,0.91686,0.00138603140846921,-2670.21335707055,19.1805663821438,21.4820037,NaN
D-PACT-Safe95,Random jammer,stochastic,outage_capped,0.894967891233309,0.00172069255806173,3.57987156493323,0.00688277023224693,4.70579148322965,3.57987156493323,0.913325,0.913325,0.0016514564895395,15.8592597976839,0.0557431804938697,0.08338,0.00156131918851369,0.0833333333333433,6.24021443388219e-18,0.91686,0.00138603140846921,-2670.21335707055,19.1805663821438,21.552047255,0.11
Thompson Sampling,Sweep jammer,stochastic,outage_capped,0.619675233109075,0.00212833919090403,2.4787009324363,0.00851335676361611,2.84532278659759,2.4787009324363,0.70539,0.70539,0.0022871878002657,12.6463223305837,0.0240270678531627,0.08384,0.00125810177481374,0.0839033499999963,5.73936932735553e-05,0.83305,0.00747392758580753,72.9723092504441,20.4446251700756,9.023807405,NaN
EXP3,Sweep jammer,stochastic,outage_capped,0.618974145381105,0.00164900480047592,2.47589658152442,0.00659601920190366,2.84141923200021,2.47589658152442,0.704535,0.704535,0.00177464330055662,12.6343362247928,0.0201075697012002,0.084885,0.00110410866265389,0.08362943169145,1.69558480037462e-05,0.808525,0.0127666731103002,79.9831865301416,19.4142596337859,1.819188705,NaN
LC-Tsallis-INF-Online,Sweep jammer,stochastic,outage_capped,0.898149741214503,0.00164666038941055,3.59259896485801,0.0065866415576422,4.78507146368665,3.59259896485801,0.913505,0.913505,0.00124939936643256,16.0635642892729,0.0668607376209858,0.084495,0.0013212107198762,0.083914491935307,0.000699519414773961,0.91651,0.00108262281520389,-2711.77277180384,16.8857883081591,15.1629552,NaN
Risk-aware EXP4,Sweep jammer,stochastic,outage_capped,0.765855170555202,0.00156723807596646,3.06342068222081,0.00626895230386584,3.60659836587323,3.06342068222081,0.83536,0.83536,0.00139192687043234,13.5764925893043,0.025722562642903,0.08363,0.00107889991145952,0.0834628047000847,0.000212341608211003,0.91633,0.00103372703716621,-1388.82706521083,16.9699227464497,3.993765785,NaN
AUFH-EXP3++-1,Sweep jammer,stochastic,outage_capped,0.619468341832841,0.00227634610000603,2.47787336733136,0.00910538440002412,2.84431565013459,2.47787336733136,0.705045,0.705045,0.0023840814446526,12.6447687697747,0.0202920756572058,0.082885,0.00137113578044665,0.0834303773363887,3.52125904436339e-06,0.90498,0.00190032242361242,75.0412220127822,27.0809396197529,1.98319802,NaN
D-PACT-AFH-Base,Sweep jammer,stochastic,outage_capped,0.893555060874385,0.00191061330378135,3.57422024349754,0.00764245321512541,4.69350707818063,3.57422024349754,0.91241,0.91241,0.00126894316242835,15.83564972571,0.0795372677441191,0.084765,0.00128755857996524,0.083866476567794,0.000675393559378965,0.91779,0.00100091389397785,-2665.82596840265,19.3065623139251,20.973159485,NaN
D-PACT-AFH,Sweep jammer,stochastic,outage_capped,0.892038270298199,0.00265375145639275,3.56815308119279,0.010615005825571,4.65342036298493,3.56815308119279,0.912595,0.912595,0.00125923226317926,15.7207871837144,0.150196541176991,0.084205,0.00124111862870812,0.0834646580906574,0.000614410262614497,0.91712,0.00109522110625159,-2650.6580626408,27.6706180070317,21.19363107,NaN
D-PACT-Safe95,Sweep jammer,stochastic,outage_capped,0.924235793545902,0.00458224028429342,3.69694317418361,0.0183289611371737,4.80563680258215,3.69694317418361,0.943405,0.943405,0.00232947572100179,15.8146045017633,0.157837080767119,0.04811,0.00260977669381481,0.0479129894226417,0.00250092267245321,0.91751,0.00109672465094937,-2972.63329511783,45.620948745381,21.663555115,0.11
Thompson Sampling,FOLPETTI-inspired TS,stochastic,outage_capped,0.616887196274322,0.00294720557973774,2.46754878509729,0.011788822318951,2.83257868184806,2.46754878509729,0.70198,0.70198,0.0034521545565205,12.6237979728435,0.0211910399777867,0.088405,0.0029137312591463,0.0890405024282321,0.00259035611081861,0.83616,0.0107726864377608,333.323631105557,61.2533091352793,26.63617875,NaN
EXP3,FOLPETTI-inspired TS,stochastic,outage_capped,0.607196131982886,0.00225755123365772,2.42878452793154,0.00903020493463088,2.78795761429319,2.42878452793154,0.69107,0.69107,0.00252492703135837,12.5469649573148,0.0242552741919142,0.104285,0.00304885461530444,0.103799053291871,0.00241985139757402,0.813665,0.0100686170326154,542.890870009973,46.1881577451744,19.531072005,NaN
LC-Tsallis-INF-Online,FOLPETTI-inspired TS,stochastic,outage_capped,0.899088024994303,0.00116161210593584,3.59635209997721,0.00464644842374335,4.80030456455546,3.59635209997721,0.913605,0.913605,0.0011456473775487,16.0996874207688,0.0475336883359366,0.083615,0.00122420749101312,0.0831806685314139,0.000252018295960904,0.91622,0.00122109233583361,-2333.89173168811,36.733391141177,33.243150335,NaN
