Learner,Regime,Adversary,EnvironmentRegime,Tau,GoodputMbps,GoodputCI95,PDR,PDRCI95,MeanSINRdB,MeanSINRdBCI95,ExpectedJamHit,ExpectedJamHitCI95,EmpiricalJamHit,EmpiricalJamHitCI95,SwitchingRate,SwitchingRateCI95,MasterLcMass,MasterLcMassCI95,MasterLocalMass,MasterLocalMassCI95,MasterEffectiveCount,MasterEffectiveCountCI95,RuntimeSeconds
LC-Tsallis-INF-Online,Nominal,No active jammer,stochastic,NaN,3.91491622941476,0.00227321535354172,0.989935,0.000439254322687893,16.5178679473222,0.0485078837824518,0,0,0,0,0.916405,0.00120340228125357,NaN,NaN,NaN,NaN,NaN,NaN,56.128224625
Risk-aware EXP4,Nominal,No active jammer,stochastic,NaN,3.35979532840449,0.00564924659433829,0.91415,0.00113322832743682,13.9702655862749,0.0137589890028732,0,0,0,0,0.916165,0.00155877083221634,NaN,NaN,NaN,NaN,NaN,NaN,12.948407515
AUFH-EXP3++-1,Nominal,No active jammer,stochastic,NaN,2.70876726198841,0.00772920316993026,0.769585,0.00197091850935708,13.0180320428474,0.0214102471793998,0,0,0,0,0.905925,0.00188586520420232,NaN,NaN,NaN,NaN,NaN,NaN,1.975281315
D-PACT-AFH-Base,Nominal,No active jammer,stochastic,NaN,3.89759890044553,0.00263410234499197,0.989845,0.000464359794714581,16.2823232229917,0.0410954641640987,0,0,0,0,0.916505,0.00116576648289079,0.8425191846389,0.0205704174334473,0.1574808153611,0.0205704174334473,1.28897644633901,0.0147120819326527,28.492684545
D-PACT-AFH,Nominal,No active jammer,stochastic,NaN,3.89759890044553,0.00263410234499197,0.989845,0.000464359794714581,16.2823232229917,0.0410954641640987,0,0,0,0,0.916505,0.00116576648289079,0.842519184638908,0.0205704174334552,0.157480815361092,0.0205704174334552,1.28897644633895,0.0147120819326781,69.46559662
D-PACT-Safe95,Nominal,No active jammer,stochastic,0.11,3.89759890044553,0.00263410234499197,0.989845,0.000464359794714581,16.2823232229917,0.0410954641640987,0,0,0,0,0.916505,0.00116576648289079,0.842519184638875,0.0205704174334553,0.157480815361125,0.0205704174334553,1.28897644633902,0.0147120819326394,75.0188553
LC-Tsallis-INF-Online,Nonlinear interaction,No active jammer,nonlinear_interaction,NaN,3.49534023586107,0.00541095570320873,0.950005,0.000930739354096064,14.8034403101324,0.0172007103064041,0,0,0,0,0.916015,0.00125350309218017,NaN,NaN,NaN,NaN,NaN,NaN,53.06357109
Risk-aware EXP4,Nonlinear interaction,No active jammer,nonlinear_interaction,NaN,2.52660646396343,0.00996120478477272,0.75077,0.00260788564650813,13.0164698286699,0.0305963435125567,0,0,0,0,0.916095,0.0010147141666499,NaN,NaN,NaN,NaN,NaN,NaN,18.249288525
AUFH-EXP3++-1,Nonlinear interaction,No active jammer,nonlinear_interaction,NaN,0.944850227965277,0.00700687547843331,0.32634,0.00245065599638782,7.73558682715888,0.0433568363966381,0,0,0,0,0.893785,0.00279124033210667,NaN,NaN,NaN,NaN,NaN,NaN,9.31845787
D-PACT-AFH-Base,Nonlinear interaction,No active jammer,nonlinear_interaction,NaN,3.47627056349962,0.00723688298585859,0.94745,0.0010207759071567,14.6451403855185,0.0604521407184894,0,0,0,0,0.916185,0.0013122893543246,0.741789008055445,0.0920584864539253,0.258210991944555,0.0920584864539252,1.25225739305337,0.0683994266684226,72.996351765
D-PACT-AFH,Nonlinear interaction,No active jammer,nonlinear_interaction,NaN,3.47627056349962,0.00723688298585859,0.94745,0.0010207759071567,14.6451403855185,0.0604521407184894,0,0,0,0,0.916185,0.0013122893543246,0.741789008055356,0.0920584864539539,0.258210991944644,0.0920584864539539,1.252257393054,0.068399426668737,74.485087555
D-PACT-Safe95,Nonlinear interaction,No active jammer,nonlinear_interaction,0.11,3.47627056349962,0.00723688298585859,0.94745,0.0010207759071567,14.6451403855185,0.0604521407184894,0,0,0,0,0.916185,0.0013122893543246,0.741789008055311,0.0920584864539727,0.258210991944689,0.0920584864539727,1.25225739305423,0.0683994266688323,75.24154784
LC-Tsallis-INF-Online,Observable switching,No active jammer,observable_switching,NaN,2.45022347912972,0.067894064101649,0.75845,0.0196500219054384,14.7856592460449,0.125063301712745,0,0,0,0,0.916305,0.00134907505077797,NaN,NaN,NaN,NaN,NaN,NaN,52.925916475
Risk-aware EXP4,Observable switching,No active jammer,observable_switching,NaN,2.12479510096801,0.0170096370170401,0.687195,0.00263980231277388,12.8312259255001,0.0923443096284622,0,0,0,0,0.91656,0.000971545850151904,NaN,NaN,NaN,NaN,NaN,NaN,18.31126996
AUFH-EXP3++-1,Observable switching,No active jammer,observable_switching,NaN,1.29614116400668,0.00634846284177431,0.456455,0.00303377007733039,9.26573185407835,0.0603697479328509,0,0,0,0,0.897015,0.00360426542950374,NaN,NaN,NaN,NaN,NaN,NaN,9.34122913
D-PACT-AFH-Base,Observable switching,No active jammer,observable_switching,NaN,2.88952413380878,0.0218917251252788,0.87823,0.00239037544023175,13.27856141295,0.0959731098339627,0,0,0,0,0.9172,0.00117934786618439,0.0364395894246678,0.00888405024666157,0.963560410575332,0.00888405024666153,1.06119504505259,0.00971865408067686,73.01678994
D-PACT-AFH,Observable switching,No active jammer,observable_switching,NaN,2.88952413380878,0.0218917251252788,0.87823,0.00239037544023175,13.27856141295,0.0959731098339627,0,0,0,0,0.9172,0.00117934786618439,0.0364395894236284,0.00888405024557343,0.963560410576372,0.00888405024557343,1.0611950450488,0.00971865407790514,74.122235415
D-PACT-Safe95,Observable switching,No active jammer,observable_switching,0.11,2.88952413380878,0.0218917251252788,0.87823,0.00239037544023175,13.27856141295,0.0959731098339627,0,0,0,0,0.9172,0.00117934786618439,0.0364395894254133,0.00888405024759968,0.963560410574587,0.00888405024759963,1.06119504505209,0.00971865407790422,74.979686475
LC-Tsallis-INF-Online,White-box,Contextual-expert white-box,stochastic,NaN,3.23507344811357,0.0063945776557905,0.83184,0.00216556309730774,15.2855188757328,0.0837820088536989,0.173289497129591,0.00211933230985656,0.172895,0.00260875286961736,0.917115,0.00100256644457586,NaN,NaN,NaN,NaN,NaN,NaN,71.597286905
Risk-aware EXP4,White-box,Contextual-expert white-box,stochastic,NaN,2.93827593000388,0.00782053055150389,0.807615,0.00176996590570791,13.304749900972,0.0199924571906765,0.104906334526206,0.000277459139038647,0.105405,0.00142934197521281,0.91654,0.000960452630136881,NaN,NaN,NaN,NaN,NaN,NaN,36.50784723
AUFH-EXP3++-1,White-box,Contextual-expert white-box,stochastic,NaN,2.44144507106851,0.00801497704881683,0.695035,0.00213864061644676,12.5686715875324,0.0197029783347075,0.0893278557134707,0.000570953023923829,0.090305,0.00110559097699875,0.91205,0.00119294199797237,NaN,NaN,NaN,NaN,NaN,NaN,27.317009205
D-PACT-AFH-Base,White-box,Contextual-expert white-box,stochastic,NaN,3.23335239768306,0.00536583498912498,0.841635,0.00184206388311418,14.8075945163214,0.0617397942024335,0.158609915396766,0.00160105392527297,0.158765,0.00208643115643108,0.91726,0.00104067655726556,0.677089472244364,0.0327014545528169,0.322910527755636,0.032701454552817,1.82430750722374,0.0409351255866781,92.37730122
D-PACT-AFH,White-box,Contextual-expert white-box,stochastic,NaN,3.23488627336015,0.00487110491261221,0.860895,0.00106317223341034,13.8431324254054,0.0242981389142078,0.133718807666537,0.000413843560947177,0.13367,0.00103597391147806,0.91667,0.00139379219473538,0.0508718028751508,0.00871037151085179,0.949128197124849,0.00871037151085174,1.03367751795948,0.000124119099810154,76.81862229
D-PACT-Safe95,White-box,Contextual-expert white-box,stochastic,0.11,3.1039137580658,0.00543895223304388,0.854275,0.00120309981648285,13.159465498379,0.0183641351190231,0.108063086069396,4.93349475190806e-05,0.1081,0.00102201312176147,0.917645,0.00109493261412458,0.0561055021308225,0.00774918888136628,0.943894497869178,0.00774918888136618,1.03617852096321,0.000219199899403624,25.333332475
LC-Tsallis-INF-Online,Contaminated,Contextual-expert white-box,contaminated_stochastic,NaN,3.192423476621,0.00805408602356742,0.821935,0.00231549430484928,15.1332354936736,0.0745988459029114,0.181985587071498,0.00219644205015278,0.18062,0.00289961483612819,0.91624,0.00113518033438698,NaN,NaN,NaN,NaN,NaN,NaN,20.777039155
Risk-aware EXP4,Contaminated,Contextual-expert white-box,contaminated_stochastic,NaN,2.87288558499476,0.00680315595592576,0.7897,0.00167226870165243,13.2263850868487,0.0164852233440272,0.110301270412283,0.000359067692371501,0.11018,0.0014451769398134,0.91627,0.00120421058133972,NaN,NaN,NaN,NaN,NaN,NaN,28.05661641
AUFH-EXP3++-1,Contaminated,Contextual-expert white-box,contaminated_stochastic,NaN,2.32664643514952,0.00775292416564439,0.664355,0.00231847001229145,12.3570535504109,0.0227638538021343,0.0900801768750904,0.000718627852559985,0.090785,0.00183480525913443,0.911345,0.00132266373894342,NaN,NaN,NaN,NaN,NaN,NaN,10.069646955
D-PACT-AFH-Base,Contaminated,Contextual-expert white-box,contaminated_stochastic,NaN,3.19125000015052,0.00577992705257746,0.834465,0.00245765370820905,14.6082945457284,0.0809881069441952,0.16457060636438,0.00261349122191581,0.164145,0.00291098898694332,0.916035,0.0012093353816304,0.588141986726788,0.0514447275924973,0.411858013273213,0.0514447275924973,1.88276147442205,0.0541783773168699,49.73307689
D-PACT-AFH,Contaminated,Contextual-expert white-box,contaminated_stochastic,NaN,3.19474720441681,0.00582915518543398,0.852455,0.00141104776225627,13.7491899686241,0.0239887566983003,0.141199310734899,0.000468645333280201,0.140795,0.00133982617804267,0.9165,0.00124270801075715,0.0464396245083213,0.00727068673192257,0.953560375491679,0.00727068673192248,1.03348743360967,9.58635699716067e-05,63.97526812
D-PACT-Safe95,Contaminated,Contextual-expert white-box,contaminated_stochastic,0.11,3.01904106008204,0.00622508503809671,0.838985,0.0015620102371792,12.9220363500321,0.0144659717304582,0.108607431292849,4.07130623968406e-05,0.108815,0.00100085076546748,0.918525,0.000985644533981913,0.0547061332028066,0.0103074639888971,0.945293866797193,0.0103074639888971,1.0359530940688,0.000385966536338881,87.117278005
LC-Tsallis-INF-Online,Exogenous sweep,Contextual-expert white-box,oblivious_sweep,NaN,3.16021701763914,0.00666343021446626,0.81426,0.00206681830026633,15.0991639584333,0.0650586841882696,0.188332101259305,0.00175697590271123,0.188215,0.00241315449851107,0.91729,0.00160079017067395,NaN,NaN,NaN,NaN,NaN,NaN,58.11277015
Risk-aware EXP4,Exogenous sweep,Contextual-expert white-box,oblivious_sweep,NaN,2.835220356384,0.00637521749160468,0.77958,0.0016343948270006,13.1651844011893,0.0136966653395732,0.11405223628407,0.000335457192142804,0.11471,0.00157340004348611,0.916635,0.00114510014363259,NaN,NaN,NaN,NaN,NaN,NaN,28.868536095
AUFH-EXP3++-1,Exogenous sweep,Contextual-expert white-box,oblivious_sweep,NaN,2.24506983047101,0.00715213927675782,0.64321,0.00196442563508764,12.1911301984595,0.021923445859373,0.0904868965320083,0.000560194692464125,0.090615,0.000802262236953793,0.91121,0.00120830044712659,NaN,NaN,NaN,NaN,NaN,NaN,24.12752289
D-PACT-AFH-Base,Exogenous sweep,Contextual-expert white-box,oblivious_sweep,NaN,3.16091463004446,0.00459451600344275,0.827655,0.00173688312426842,14.5524708308094,0.0728246305708721,0.170119405848419,0.00226128121495587,0.170385,0.002133481903763,0.91718,0.0014700068771769,0.592987068087803,0.047147330580978,0.407012931912197,0.047147330580978,1.92478122091647,0.0270766395156512,86.074014955
D-PACT-AFH,Exogenous sweep,Contextual-expert white-box,oblivious_sweep,NaN,3.16562668933577,0.0060746621667456,0.84644,0.00137394388608315,13.6795835342051,0.0226121058581305,0.145183945403442,0.000492682728715822,0.146195,0.00120079522685681,0.91714,0.00154823676687896,0.060075262775079,0.0112405904830547,0.939924737224921,0.0112405904830548,1.03330253599915,0.000128870617675928,85.50396853
D-PACT-Safe95,Exogenous sweep,Contextual-expert white-box,oblivious_sweep,0.11,2.96665967756225,0.00667723428916861,0.829895,0.00139447201779779,12.7551479124055,0.0183002948615326,0.109096762040796,4.40195905122919e-05,0.10927,0.00136817044490655,0.918765,0.00135190467664582,0.0598487248673285,0.0138968004181987,0.940151275132671,0.0138968004181985,1.03651847885412,0.000386131966419529,85.62388896
LC-Tsallis-INF-Online,Mixed,Contextual-expert white-box,mixed,NaN,2.9471671991772,0.00728222556525753,0.76215,0.00219247660012718,14.6570106096239,0.042884234830868,0.236006186853741,0.00171030488080422,0.236125,0.00235534488032287,0.893165,0.00158316023127627,NaN,NaN,NaN,NaN,NaN,NaN,51.28984723
Risk-aware EXP4,Mixed,Contextual-expert white-box,mixed,NaN,2.58227839048698,0.0066967858920558,0.720025,0.00151946580294385,12.7195280521476,0.024864675483031,0.137784640478669,0.000582307918330364,0.13781,0.00134580573869923,0.905465,0.00162668658450561,NaN,NaN,NaN,NaN,NaN,NaN,26.31021747
AUFH-EXP3++-1,Mixed,Contextual-expert white-box,mixed,NaN,2.28899140672887,0.00911830565209196,0.656845,0.00234375332768886,12.2590792201721,0.0291802578600005,0.113550651036491,0.000863623634845304,0.1126,0.00127522936636595,0.88801,0.000826545832142159,NaN,NaN,NaN,NaN,NaN,NaN,17.047592575
D-PACT-AFH-Base,Mixed,Contextual-expert white-box,mixed,NaN,2.97458930591487,0.00607433633879964,0.796255,0.00285951753714908,13.769244443672,0.0659616029612149,0.196496150971279,0.00274132918945525,0.195105,0.00316067612320362,0.893775,0.00144204488943926,0.366612711431692,0.0502785739135701,0.633387288568308,0.0502785739135701,1.82289158380293,0.0628737261482833,73.76681175
D-PACT-AFH,Mixed,Contextual-expert white-box,mixed,NaN,2.98282071851181,0.0064280866496299,0.811805,0.00165014595781866,13.231892835144,0.0233940749998984,0.176379345623094,0.000457279169957249,0.17594,0.00138676059938261,0.89397,0.00137612747573533,0.0474893791647594,0.00680793436331015,0.952510620835241,0.00680793436331023,1.03259170264807,4.73077485999215e-05,76.820356905
