Learner,ScaleType,ScaleValue,K,T,Tau,GoodputMbps,GoodputCI95,PDR,PDRCI95,ExpectedJamHit,ExpectedJamHitCI95,EmpiricalJamHit,EmpiricalJamHitCI95,FixedArmRegret,FixedArmRegretCI95,RuntimeSeconds,RuntimePer1000Rounds
LC-Tsallis-INF-Online,K,8,8,10000,NaN,2.89120968079922,0.0136551420208391,0.75054,0.00491845024191789,0.251863458242612,0.00426628168125012,0.2547,0.00522446120135315,-1571.40373748391,34.4358329676067,67.19748878,6.719748878
Risk-aware EXP4,K,8,8,10000,NaN,2.70575876376555,0.0107383267992769,0.74965,0.00283237142887564,0.1640472215931,0.000691797844515269,0.16678,0.00320023981323623,-1050.33318552724,32.4489986097011,33.98361059,3.398361059
AUFH-EXP3++-1,K,8,8,10000,NaN,2.32141895919283,0.00899653375197797,0.66185,0.00210049460841964,0.130379420762962,0.000640831666257562,0.13082,0.00171337834441524,237.833809113021,50.193743675213,25.17471855,2.517471855
D-PACT-AFH-Base,K,8,8,10000,NaN,2.9052997663356,0.010101523205704,0.77319,0.00281804865189451,0.225142667350761,0.00333602450585188,0.22677,0.00291873330516282,-1603.55591263331,28.016182448683,84.48397184,8.448397184
D-PACT-AFH,K,8,8,10000,NaN,2.93082067884622,0.0107663572608831,0.79559,0.00311544108237947,0.197809542143753,0.000761825512184965,0.19943,0.0029883912312666,-1663.06746259757,22.3354993076151,84.85095426,8.485095426
D-PACT-Safe95,K,8,8,10000,0.150454545454545,2.75777956302097,0.0078445530961884,0.77599,0.00189206280844772,0.148903864691294,7.38316372001175e-05,0.15129,0.00218245606395893,-1174.21660705709,24.713079554884,87.36983071,8.736983071
LC-Tsallis-INF-Online,K,12,12,10000,NaN,3.24582981034075,0.0122684563708723,0.83505,0.00324348910896891,0.170089744625414,0.00237449820635431,0.16895,0.0038666350918251,-2041.20902200669,31.7008420033604,68.45345113,6.845345113
Risk-aware EXP4,K,12,12,10000,NaN,2.93181572194156,0.0100387796741545,0.80628,0.00211175283065462,0.104043046450189,0.000427181393554553,0.10334,0.00181509122635751,-1190.66867053976,26.7858986380048,34.68262376,3.468262376
AUFH-EXP3++-1,K,12,12,10000,NaN,2.43858258387989,0.00925622893919794,0.69424,0.00208927787205692,0.0902233070991391,0.000904842905661425,0.0901,0.00202322470878106,335.238740740932,45.7520413853822,26.33833771,2.633833771
D-PACT-AFH-Base,K,12,12,10000,NaN,3.23899214000089,0.0123594726525028,0.84315,0.00373009851523163,0.157963282448841,0.00328870002485187,0.15733,0.00443247546787721,-2024.48708691342,33.4616623930739,69.18731023,6.918731023
D-PACT-AFH,K,12,12,10000,NaN,3.23508570350136,0.00981720742390572,0.86038,0.00172949562846769,0.133633129905154,0.00042845754401501,0.13485,0.00188251852580526,-2009.74801133956,24.4309029296357,78.69468776,7.869468776
D-PACT-Safe95,K,12,12,10000,0.11,3.11078307124399,0.0073473516587869,0.85546,0.00180731414719929,0.108056976992858,6.1148555729398e-05,0.10738,0.00165069809340035,-1680.02144844298,15.725990863771,101.08663596,10.108663596
LC-Tsallis-INF-Online,K,16,16,10000,NaN,3.41619379450808,0.00685023833796991,0.87545,0.00139735461179727,0.127835853459914,0.00154060966212996,0.1271,0.00226132625785057,-2273.35980068044,17.7095738431225,75.79817832,7.579817832
Risk-aware EXP4,K,16,16,10000,NaN,3.03511850086085,0.0109292833039097,0.83196,0.00222252438656787,0.0755638943505659,0.000371740382131355,0.07417,0.00163882516727346,-1270.27215514569,28.5317355541861,36.18391159,3.618391159
AUFH-EXP3++-1,K,16,16,10000,NaN,2.5074789698617,0.015200893085704,0.71362,0.00369728947203218,0.0683122633799558,0.000784911300913638,0.06819,0.00242428927133523,252.039775609923,57.6335705880567,26.57402065,2.657402065
D-PACT-AFH-Base,K,16,16,10000,NaN,3.41069900154668,0.0121109501417932,0.88079,0.00255142351203751,0.119562952512561,0.00111219204164193,0.11891,0.00276298212162954,-2255.71403226406,30.1161274390799,99.45205057,9.945205057
D-PACT-AFH,K,16,16,10000,NaN,3.39749628131439,0.00613035051743426,0.89549,0.00129104022830859,0.0996729011031841,0.000399593087204988,0.09903,0.00134499421560094,-2217.3577702915,19.6717357297165,110.68467292,11.068467292
D-PACT-Safe95,K,16,16,10000,0.0897727272727273,3.31566528278397,0.00946347727444691,0.89364,0.00228689065569631,0.0868450585124551,0.000100681083767058,0.08535,0.00178666062188032,-1999.27954993409,27.8533755109524,113.79506295,11.379506295
LC-Tsallis-INF-Online,K,32,32,10000,NaN,3.67625936443801,0.00739445731652501,0.94062,0.00177047306170475,0.0547182133124211,0.00108366358728608,0.05381,0.0019280419036479,-2612.16230455883,21.4981857143047,95.0422387,9.50422387
Risk-aware EXP4,K,32,32,10000,NaN,3.11584733158458,0.0120803983127203,0.85577,0.0027015234582649,0.0351109811165942,4.09774073703184e-05,0.03513,0.000976531194244881,-1185.06791660569,36.479299859374,46.60271924,4.660271924
